trade_date,sentiment,total_trades,total_volume_usd,avg_trade_size,total_pnl,avg_pnl,pnl_std
2023-05-01,Greed,3,477.0,159.0,0.0,0.0,0.0
2023-12-05,Greed,9,50005.83,5556.203333333334,0.0,0.0,0.0
2023-12-14,Greed,11,113203.35,10291.213636363636,-205.43473700000007,-18.675885181818188,179.66353383090035
2023-12-15,Greed,2,10609.95,5304.975,-24.632033999999997,-12.316016999999999,4.474304424985184
2023-12-16,Greed,3,15348.77,5116.256666666667,0.0,0.0,0.0
2023-12-17,Greed,14,116278.02,8305.572857142857,304.982785,21.78448464285714,43.51261683426808
2023-12-18,Greed,2,31164.179999999997,15582.089999999998,0.0,0.0,0.0
2023-12-19,Greed,15,91602.41,6106.827333333334,1000.5386120000001,66.70257413333334,183.73537011741135
2023-12-20,Greed,18,141636.79,7868.710555555556,162.732282,9.040682333333333,21.3481314287044
2023-12-21,Greed,49,125233.97,2555.795306122449,537.211402,10.963498000000001,20.811624735703514
2023-12-22,Greed,10,88874.28,8887.428,141.832675,14.1832675,40.92671758278208
2023-12-23,Greed,13,78438.25,6033.711538461538,146.936704,11.302823384615383,11.478402785910806
2023-12-24,Greed,39,402954.94,10332.177948717948,1008.619956,25.862050153846155,52.267012077476366
2023-12-25,Greed,3,59948.51,19982.836666666666,-245.081348,-81.69378266666666,141.49778224115633
2023-12-27,Greed,28,171411.06,6121.823571428571,-704.8892269999999,-25.174615249999995,153.67464419092525
2023-12-28,Greed,23,100117.25,4352.923913043478,-970.730876,-42.20569026086957,55.01514381004261
2023-12-29,Greed,50,569559.72,11391.1944,508.92214299999995,10.178442859999999,78.11192586732814
2023-12-30,Greed,52,702550.21,13510.58096153846,354.998648,6.826897076923077,68.40190063585914
2024-01-01,Greed,18,264239.52999999997,14679.973888888888,-129.53146,-7.196192222222223,85.84776860469921
2024-01-02,Greed,17,121348.74,7138.1611764705885,783.979116,46.11641858823529,134.42834386429288
2024-01-03,Greed,67,394499.36,5888.050149253731,866.015507,12.925604582089552,50.415365667933756
2024-01-04,Greed,5,99792.54000000001,19958.508,-67.60364,-13.520728,29.544005214373353
2024-01-05,Greed,66,1703942.66,25817.31303030303,164.141565,2.486993409090909,60.7235758141571
2024-01-06,Greed,22,298521.4,13569.154545454547,135.58166400000002,6.16280290909091,37.338371573804935
2024-01-07,Greed,97,1048850.06,10812.887216494846,-835.681235,-8.615270463917525,34.037905927281535
2024-01-08,Greed,128,1522452.43,11894.159609375,-269.874439,-2.1083940546875,122.41963598502315
2024-01-09,Greed,70,870051.97,12429.313857142857,-826.349863,-11.804998042857143,214.1803231936485
2024-01-10,Greed,193,2057479.48,10660.515440414507,-1517.091342,-7.860576901554404,119.7894328095249
2024-01-11,Greed,21,305314.1,14538.766666666666,-164.08950099999998,-7.813785761904761,101.92627878710132
2024-01-12,Greed,7,200082.27,28583.181428571428,-1925.519024,-275.0741462857143,669.9280140108323
2024-01-15,Greed,14,50636.1,3616.8642857142854,152.85358,10.918112857142857,33.645786328134285
2024-01-16,Greed,9,116427.33,12936.37,-2299.171458,-255.4634953333333,883.8757688873994
2024-01-17,Greed,53,800831.03,15110.019433962265,813.2741110000001,15.344794547169812,75.6265391448607
2024-01-18,Greed,46,424631.52999999997,9231.120217391304,68.93319,1.4985476086956522,39.503091785872144
2024-01-19,Greed,48,428428.97,8925.603541666665,-385.419235,-8.029567395833334,51.79852685525565
2024-01-20,Greed,106,1070090.51,10095.193490566038,-146.57487000000003,-1.3827817924528305,38.554282761934644
2024-01-21,Greed,11,103129.74,9375.43090909091,266.58114600000005,24.234649636363642,65.56080670770307
2024-01-22,Greed,85,337878.99,3975.0469411764707,1375.640959,16.18401128235294,80.41613478472654
2024-01-23,Greed,45,414518.93000000005,9211.531777777778,-369.2447299999998,-8.20543844444444,613.9643726523253
2024-01-24,Greed,68,965084.59,14192.42044117647,-2808.353815,-41.29932080882353,149.8053621490879
2024-01-25,Greed,6,66566.13,11094.355000000001,-3093.6293849999997,-515.6048975,356.6379016697523
2024-01-26,Greed,5,11773.21,2354.642,90.2,18.04,40.33866631409621
2024-01-28,Greed,11,18109.03,1646.2754545454545,-2478.06972,-225.27906545454545,262.6842407250483
2024-01-29,Greed,74,414208.18,5597.407837837838,486.562542,6.5751694864864865,28.607026832226527
